file_path,line_number,hardcoded_literal,proposed_alias,context
tools\auto_parse.toml,6,C:\Users\atayl\VoxCore,VOXCORE_ROOT,runtime_dir = 'C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo'
tools\auto_parse.toml,8,C:\Users\atayl\VoxCore,VOXCORE_ROOT,wago_dir = 'C:\Users\atayl\VoxCore\wago'
tools\auto_parse.toml,9,C:\Users\atayl\VoxCore,VOXCORE_ROOT,tools_dir = 'C:\Users\atayl\VoxCore\tools'
tools\auto_parse.toml,10,C:\Users\atayl\VoxCore,VOXCORE_ROOT,wpp_exe = 'C:\Users\atayl\VoxCore\ExtTools\WowPacketParser\WowPacketParser.exe'
tools\chatgpt_studio_orientation.md,8,C:\Users\atayl\VoxCore,VOXCORE_ROOT,4. **Any other sub-project or tool** stored anywhere inside `C:\Users\atayl\VoxCore\`
tools\chatgpt_studio_orientation.md,20,C:\Users\atayl\VoxCore,VOXCORE_ROOT,The user has a physical folder on their hard drive: `C:\Users\atayl\VoxCore\AI_Studio\`.
tools\claude_code_handover.md,6,C:\Users\atayl\VoxCore,VOXCORE_ROOT,1. Read `C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo\PacketLog\timeline.t
tools\claude_project_bootstrap.md,4,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"The user has initialized the `/AI_Studio/Projects/` hierarchy, but the physical folders for `idTIP`,"
tools\claude_project_bootstrap.md,13,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"2. Once you find its master folder, generate a Windows Directory Junction (`mklink /J`) inside `C:\U"
tools\claude_project_bootstrap.md,17,C:\Users\atayl\VoxCore,VOXCORE_ROOT,2. Generate a Windows Directory Junction (`mklink /J`) inside `C:\Users\atayl\VoxCore\AI_Studio\Proj
tools\claude_project_bootstrap.md,21,C:\Users\atayl\VoxCore,VOXCORE_ROOT,2. Generate a Windows Directory Junction (`mklink /J`) inside `C:\Users\atayl\VoxCore\AI_Studio\Proj
tools\claude_studio_sync.md,7,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"The user is tired of hunting across `C:\Users\atayl\VoxCore\tools\`, `\wago\`, `\sql\`, and `\doc\` "
tools\claude_studio_sync.md,20,C:\Users\atayl\VoxCore,VOXCORE_ROOT,The user is simultaneously developing dozens of projects scattered across `C:\Users\atayl\VoxCore\`.
tools\claude_studio_sync.md,24,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"If ChatGPT gives you a spec for a project that doesn't have a folder yet, **you must create one:** `"
tools\claude_sync_update.md,28,C:\Users\atayl\VoxCore,VOXCORE_ROOT,- **CRITICAL DIRECTIVE FOR YOU:** Whenever you establish that a SQL database patch is required fixin
tools\gen_chatgpt_payload.py,13,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"r""C:\Users\atayl\VoxCore\tools\command-center\app.py"","
tools\gen_chatgpt_payload.py,14,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"r""C:\Users\atayl\VoxCore\tools\command-center\templates\index.html"""
tools\_optimize_db.bat,8,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"set ""MYSQL=C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo\UniServerZ\core\my"
tools\admin_tools\inventory_voxcore.py,30,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"log_out = generate_inventory(r""C:\Users\atayl\VoxCore"")"
tools\admin_tools\inventory_voxcore.py,31,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"with open(r""C:\Users\atayl\VoxCore\tools\voxcore_inventory.md"", ""w"") as f:"
tools\ai_studio\ai_studio_router.py,9,C:\Users\atayl\OneDrive\Desktop\Excluded,EXCLUDED_ROOT,"EXCLUDED_DIR = r""C:\Users\atayl\OneDrive\Desktop\Excluded"""
tools\ai_studio\ai_studio_router.py,10,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"INBOX_DIR = r""C:\Users\atayl\VoxCore\AI_Studio\1_Inbox"""
tools\ai_studio\ai_studio_router.py,16,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"with open(r""C:\Users\atayl\VoxCore\tools\ai_router_log.txt"", ""a"") as f:"
tools\auto_parse\config.py,20,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"r""C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo"""
tools\auto_parse\config.py,33,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"default_factory=lambda: Path(r""C:\Users\atayl\VoxCore\wago"")"
tools\auto_parse\config.py,36,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"default_factory=lambda: Path(r""C:\Users\atayl\VoxCore\tools"")"
tools\auto_parse\config.py,40,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"r""C:\Users\atayl\VoxCore\ExtTools\WowPacketParser\WowPacketParser.exe"""
tools\build\build.bat,3,C:\Users\atayl\VoxCore,VOXCORE_ROOT,cd /d C:\Users\atayl\VoxCore
tools\build\build_debug.bat,3,C:\Users\atayl\VoxCore,VOXCORE_ROOT,cd /d C:\Users\atayl\VoxCore
tools\build\build_scripts.bat,3,C:\Users\atayl\VoxCore,VOXCORE_ROOT,cd /d C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo
tools\build\configure.bat,3,C:\Users\atayl\VoxCore,VOXCORE_ROOT,cd /d C:\Users\atayl\VoxCore
tools\build\reconfigure_rel.bat,4,C:\Users\atayl\VoxCore,VOXCORE_ROOT,cd /d C:\Users\atayl\VoxCore
tools\build\setup_junctions.bat,4,C:\Users\atayl\VoxCore,VOXCORE_ROOT,set BIN=C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo
tools\build\setup_junctions.bat,5,C:\Users\atayl\VoxCore,VOXCORE_ROOT,set RT=C:\Users\atayl\VoxCore\runtime
tools\command-center\app.py,24,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"ICON_SRC     = Path(r""C:\Users\atayl\VoxCore\wago\att_icons_export\8K_Format\wow_icons\large"")"
tools\command-center\app.py,26,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"ART_SRC      = Path(r""C:\Users\atayl\VoxCore\wago\att_icons_export\8K_Format\scenic_art"")"
tools\command-center\app.py,29,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"ROOT    = r""C:\Users\atayl\VoxCore"""
tools\command-center\launch.bat,2,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"cd /d ""C:\Users\atayl\VoxCore\tools\command-center"""
tools\log_tools\auto_parse_v2.py.bak,41,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"RUNTIME_DIR = Path(r""C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo"")"
tools\log_tools\auto_parse_v2.py.bak,44,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"WAGO_DIR = Path(r""C:\Users\atayl\VoxCore\wago"")"
tools\log_tools\auto_parse_v2.py.bak,45,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"TOOLS_DIR = Path(r""C:\Users\atayl\VoxCore\tools"")"
tools\log_tools\auto_parse_v2.py.bak,47,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"WPP_EXE = Path(r""C:\Users\atayl\VoxCore\ExtTools\WowPacketParser\WowPacketParser.exe"")"
tools\log_tools\generate_nexus_report.py,11,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"env_path = Path(r""C:\Users\atayl\VoxCore\tools\ai_studio\.env"")"
tools\log_tools\generate_nexus_report.py,20,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"brain_path = Path(r""C:\Users\atayl\VoxCore\AI_Studio\0_Central_Brain.md"")"
tools\log_tools\generate_nexus_report.py,57,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"out_dir = Path(r""C:\Users\atayl\VoxCore\AI_Studio\NotebookLM_Enterprise\Nexus_Reports"")"
tools\log_tools\parse_dberrors.py,8,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"LOG_PATH = r""C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo\DBErrors.log"""
tools\packet_tools\opcode_analyzer.py,44,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"r""C:\Users\atayl\VoxCore\ExtTools\WowPacketParser\WowPacketParser\Enums\Version\V12_0_1_65818\Opcode"
tools\packet_tools\opcode_analyzer.py,45,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"r""C:\Users\atayl\VoxCore\ExtTools\WowPacketParser\WowPacketParser\Enums\Version\V12_0_0_65390\Opcode"
tools\packet_tools\packet_scope.py,26,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"DEFAULT_PKT_DIR = Path(r""C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo\Pack"
tools\shortcuts\apply_pending_sql.bat,3,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"set ""RUNTIME=C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo"""
tools\shortcuts\apply_pending_sql.bat,5,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"set ""PENDING_DIR=C:\Users\atayl\VoxCore\sql\updates\pending"""
tools\shortcuts\apply_pending_sql.bat,6,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"set ""APPLIED_DIR=C:\Users\atayl\VoxCore\sql\updates\applied"""
tools\shortcuts\build_scripts_rel.bat,3,C:\Users\atayl\VoxCore,VOXCORE_ROOT,cd /d C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo
tools\shortcuts\create_shortcuts.py,23,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"ICON_SRC = r""C:\Users\atayl\VoxCore\wago\att_icons_export\8K_Format\wow_icons\large"""
tools\shortcuts\create_shortcuts.py,24,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"ICON_DST = r""C:\Users\atayl\VoxCore\tools\shortcuts\icons"""
tools\shortcuts\create_shortcuts.py,27,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"ROOT     = r""C:\Users\atayl\VoxCore"""
tools\shortcuts\Launch_AI_Studio.bat,9,C:\Users\atayl\OneDrive\Desktop\Excluded,EXCLUDED_ROOT,"set ""EXCLUDED=C:\Users\atayl\OneDrive\Desktop\Excluded"""
tools\shortcuts\Launch_AI_Studio.bat,10,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"set ""STUDIO=C:\Users\atayl\VoxCore\AI_Studio"""
tools\shortcuts\setup_nexus_task.bat,4,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"schtasks /create /tn ""VoxCore Nexus Report"" /tr ""python C:\Users\atayl\VoxCore\tools\log_tools\gener"
tools\shortcuts\start_ai_router.bat,3,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"set ""RUNTIME=C:\Users\atayl\VoxCore\tools\ai_studio"""
tools\shortcuts\start_all.bat,3,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"set ""RUNTIME=C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo"""
tools\shortcuts\start_all.bat,6,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"set ""CC_DIR=C:\Users\atayl\VoxCore\tools\command-center"""
tools\shortcuts\start_mysql_uniserverz.bat,3,C:\Users\atayl\VoxCore,VOXCORE_ROOT,set MYSQL_DIR=C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo\UniServerZ\core
tools\shortcuts\stop_all.bat,30,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"set ""RUNTIME=C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo"""
tools\shortcuts\stop_all.bat,42,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"start ""Claude Code"" wt.exe -d ""C:\Users\atayl\VoxCore"" cmd /c ""claude -p tools\claude_code_handover."
AI_Studio\0_Central_Brain.md,63,C:\Users\atayl\TongueAndQuill,TQ_ROOT,"- Source: `C:\Users\atayl\TongueAndQuill\tq_formatter.py` (~1,530 lines). Syntax verified clean."
AI_Studio\Z_Global_Prompts.md,10,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"Whenever you are given a new task, you MUST read `C:\Users\atayl\VoxCore\AI_Studio\0_Central_Brain.m"
AI_Studio\Z_Global_Prompts.md,21,C:\Users\atayl\VoxCore,VOXCORE_ROOT,> 2. Read `C:\Users\atayl\VoxCore\AI_Studio\0_Central_Brain.md`.
AI_Studio\Z_Global_Prompts.md,31,C:\Users\atayl\VoxCore,VOXCORE_ROOT,You have been promoted to Lead Architect of a highly concurrent triad AI workspace managing multiple
AI_Studio\Z_Global_Prompts.md,64,C:\Users\atayl\VoxCore,VOXCORE_ROOT,> You are an Antigravity Backend Specialist assigned exclusively to the **idTIP** World of Warcraft 
AI_Studio\Z_Global_Prompts.md,67,C:\Users\atayl\VoxCore,VOXCORE_ROOT,> You are an Antigravity Backend Specialist assigned exclusively to the **TongueAndQuill** World of 
AI_Studio\Z_Global_Prompts.md,70,C:\Users\atayl\VoxCore,VOXCORE_ROOT,> You are an Antigravity Python Specialist assigned exclusively to the **DiscordBot** VoxCore projec
AI_Studio\Z_Global_Prompts.md,73,C:\Users\atayl\VoxCore,VOXCORE_ROOT,> You are the primary Antigravity Systems Architect assigned to **VoxCore**. Your primary domain is 
AI_Studio\1_Inbox\2026-03-09__TRIAD-STAB-V1__formal_triad_stabilization_spec_v1.md,74,C:\Users\atayl\VoxCore,VOXCORE_ROOT,`C:\Users\atayl\VoxCore\AI_Studio\0_Central_Brain.md`
AI_Studio\1_Inbox\2026-03-09__TRIAD-STAB-V1__formal_triad_stabilization_spec_v1.md,151,C:\Users\atayl\VoxCore,VOXCORE_ROOT,## 4) File Structure (Rooted at `C:\Users\atayl\VoxCore\`)
AI_Studio\1_Inbox\2026-03-09__TRIAD-STAB-V1__formal_triad_stabilization_spec_v1.md,156,C:\Users\atayl\VoxCore,VOXCORE_ROOT,C:\Users\atayl\VoxCore\
AI_Studio\1_Inbox\2026-03-09__TRIAD-STAB-V1__formal_triad_stabilization_spec_v1.md,248,C:\Users\atayl\VoxCore,VOXCORE_ROOT,- `C:\Users\atayl\VoxCore\`
AI_Studio\1_Inbox\2026-03-09__TRIAD-STAB-V1__formal_triad_stabilization_spec_v1.md,250,C:\Users\atayl\OneDrive\Desktop\Excluded,EXCLUDED_ROOT,- `C:\Users\atayl\OneDrive\Desktop\Excluded\`
AI_Studio\1_Inbox\2026-03-09__TRIAD-STAB-V1__formal_triad_stabilization_spec_v1.md,514,C:\Users\atayl\VoxCore,VOXCORE_ROOT,1. Read `C:\Users\atayl\VoxCore\AI_Studio\0_Central_Brain.md` before starting.
AI_Studio\1_Inbox\2026-03-09__TRIAD-STAB-V1__formal_triad_stabilization_spec_v1.md,542,C:\Users\atayl\VoxCore,VOXCORE_ROOT,1. read `C:\Users\atayl\VoxCore\AI_Studio\0_Central_Brain.md`
